# slug	category	ports	review	evidence
# Delete a row to reject it. Rows are a worklist for
#   pnpm enrich-io <slug>   /   /io-enrich
# There is no apply step: the connector has to come from the
# maker's manual or a rear-panel photo, never from this report.
# A row marked 'review' is on a category that is not
# definitionally mains-powered — a passive cabinet and an
# active monitor are both 'speaker'.
api-audio-asm164	mixer	10		rt points, and external 30W PSU. 1U 16-channel analog summi
api-audio-four-channel-box	console	30		s, aux, and cue. Integrated power supply. Stereo VU meters (0 VU = +
api-audio-l200r-12-slot-rack	rack-mount	3	review	s external L200PS tri-polar power supply (sold separately). 19″ 2U c
api-audio-mc531-monitor-controller	outboard	23		nt stereo LED metering. 16W power consumption. Desktop (not rack-mount).
api-audio-sr22-compressor	compressor	8		U meters with peak LED. 12W power consumption. Weight: 12 lb. - Input imp
api-audio-the-box-console	console	40		ue/talkback, and integrated PSU. Entry point to the API con
api-audio-tranzformer-cmp-guitar-pedal	compressor	2		l. Buffered bypass. 9–18VDC power supply (higher voltage increases h
api-audio-tranzformer-gt-guitar-pedal	compressor	3		reversal, and 18V external PSU. Integrates API 525 feedbac
arturia-microfreak-stellar	synthesizer	9		ssure outputs - USB power - Psu included - Size: 55 x 311 x
ashdown-engineering-20th-anniversary-abm-600-evo-iv	bass-amplifier	10	review	0W - Power requirement: 115/230V - Speaker outputs: 2 x Jack
ashdown-engineering-abm-rpm-gzr	preamp	8		er) - Power requirement 115/230V - Frequency response -3dB @
ashdown-engineering-abm-rpm-je	preamp	8		1U) - Power requirement 115/230V - Frequency response -3dB a
ashdown-engineering-acoustic-100-bk	guitar-amplifier	9	review	at) - Power requirement 115/230V, 120 Watts - Dimensions (H
ashdown-engineering-acoustic-100	guitar-amplifier	9	review	at) - Power requirement 230/115V - Dimensions (H x W x D) 41
ashdown-engineering-ctm-15	bass-amplifier	5	review	Power requirements: 240/230/115 volts, 50-60Hz - Speaker outp
ashdown-engineering-cube-40-bk	guitar-amplifier	8	review	ts - Power requirement: 115/230V auto-select - Speaker confi
ashdown-engineering-mibass-220	bass-amplifier	8	review	ed chassis with an internal power supply. It features a switchable A
ashdown-engineering-norman-watt-roy-pre-di	preamp	4		equirement: 15-18V external power supply, centre pin negative - EQ:
ashdown-engineering-tone-pocket-wireless	headphone-amp	4	review	time and ships with its own mains charging supply. It measure
avantone-pro-gauss-7	studio-monitor	2		Power: 110V–240V ~50/60Hz - Power Consumption Standby: <0.5W - Power Cons
bae-audio-1023	preamp	4		rackmount (with or without power supply), as a 500-series format mo
bae-audio-1023l	preamp	4		button (180°) - Power: 115/230 VAC, 28W - Weight: 6 lbs / 2.
bae-audio-1028	preamp	4		U rackmount with integrated power supply, and a 500-series compatibl
bae-audio-1032	preamp	3		nal black faceplate and 24V power supply. - 80dB Class A microphone
bae-audio-1066d	preamp	4		) - Power Requirements: 115/230 VAC, 28W - HF Shelving EQ: ±1
bae-audio-1066dl	preamp	4		) - Power Requirements: 115/230 VAC, 28W - Weight: 6 lbs / 2.
bae-audio-1073	channel-strip	4		r without the companion 24V power supply. A black faceplate cosmetic
bae-audio-1073mp	preamp	4		ttons. The regulated linear power supply included with PSU configura
bae-audio-1073mpf	preamp	4		vided by a regulated linear power supply capable of supporting up to
bae-audio-1084	channel-strip	4		or without an external 24V PSU) and a 500-series-style mod
bae-audio-10dcf	compressor	2		ty. An internal switch-mode power supply handles both 110v and 230-2
bae-audio-2cr	rack-mount	2	review	s - Power Requirements: 115/230 VAC, 34W - Weight (Empty): 20
bae-audio-312a	preamp	3		W) - Power (Rackmount): 115/230 VAC, 27W - Power (Module): 40
bae-audio-500-series-11-space-rack	rack-mount	2	review	outputs with a remote 2.1A power supply to keep transformer interfe
bae-audio-500-series-6-space-rack	rack-mount	2	review	outputs with a remote 1.6A power supply to keep transformer interfe
bae-audio-500-series-6lb-chassis	rack-mount	2	review	outputs with a remote 1.6A power supply to keep transformer interfe
bae-audio-8-channel-rack	rack-mount	24	review	with an oversized external power supply delivering twice the necess
bae-audio-8cm	rack-mount	26	review	. - Power Requirements: 115/230 VAC, 42W - Weight (Empty): 15
befaco-1u-trs	utility	2	review	ng no power from the case's power supply. It is designed, kitted, an
befaco-phono-amp	utility	3	review	and as a DIY soldering kit. Power consumption is 52mA on both the +12V an
befaco-stmix	utility	12	review	ter section. With very low power consumption (+12V: 8mA, -12V: 10mA) and
benchmark-dac1-digital-to-analog-converter	outboard	9		de-by-side) - International power supply supporting all voltages - T
benchmark-dac1-hdr-digital-to-analog-audio-converter	outboard	13		lver or black; 110V or 220V power supply options
benchmark-dac1-pre-digital-to-analog-converter	outboard	13		d features an international power supply supporting all worldwide vo
benchmark-dac2-d-digital-to-analog-audio-converter	outboard	11		itch, home theater bypass - Power consumption: 12W typical
benchmark-dac3-b-digital-to-analog-audio-converter	outboard	9		.5" W × 1.725" H × 8.5" D). Power consumption is under 0.5W at idle and 1
benson-amps-monarch-reverb-plus-1x12-combo	guitar-amplifier	4	review	resistance to remain in the power supply (despite the lack of a tube
benson-amps-monarch-reverb-plus-head	guitar-amplifier	4	review	resistance to remain in the power supply (despite the lack of a tube
bettermaker-bus-compressor	compressor	5		230mm deep - Weight: 5kg - Power consumption: 25W maximum - U.S. Patent
bettermaker-darthlimiter	limiter	5	review	1656 op-amps, with a linear power supply and relay-based signal rout
bettermaker-mastering-compressor	compressor	5		240V universal supply - Max power consumption: 25W - U.S. Patent No. 10,6
bettermaker-mastering-equalizer-millennium-edition	equalizer	5		and an upgraded switch-mode power supply for improved efficiency. Th
bettermaker-mastering-equalizer	equalizer	5		and operates at 20W maximum power consumption. It carries U.S. Patent No.
bettermaker-mastering-limiter	limiter	5	review	Bu, unity gain, 20 kHz BW - Power consumption: 30 W - Enclosure: 2U rack-
bettermaker-spe	equalizer	5		Height: 2U (140 mm depth) - Power consumption: 15 W (2 W standby) - Contr
bettermaker-vspe	equalizer	4		693,428 B2. It ships with a 100-240VAC power adapter and operat
black-lion-audio-bluey-500	compressor	1		er capacitors, and a linear power supply. Hand-tested and QC'd in th
black-lion-audio-pbr-8	patch-bay	3		8-slot 500-series rack and power supply with a built-in fully balan
black-noise-pipe-s	utility	1	review	draw any current from your power supply but that also makes it perh
black-noise-pipe	modular	1		draw any current from your power supply but that also makes it perh
blackstar-series-one-mkii	guitar-amplifier	6	review	ch ply cabinets. Heavy-duty mains and output transformers, ma
blackstar-toby-lee-signature	guitar-amplifier	7	review	modern SMPS (Switched-Mode Power Supply) technology. More than 3 ye
bowers-and-wilkins-ct-sw10	subwoofer	2		o built-in amplifier and no mains inlet of its own - Driven f
bowers-and-wilkins-ct-sw12	subwoofer	2		o built-in amplifier and no mains inlet of its own - Powered
bowers-and-wilkins-ct-sw15	subwoofer	2		o built-in amplifier and no mains inlet of its own - Driven f
bowers-and-wilkins-isw-4	subwoofer	1		o built-in amplifier and no mains inlet of its own - Amplifie
bowers-and-wilkins-isw-6	subwoofer	1		o built-in amplifier and no mains inlet of its own - Driven f
bowers-and-wilkins-isw-8	subwoofer	1		o built-in amplifier and no mains inlet of its own - Driven f
bricasti-design-m1-series-ii	outboard	10		" x 4.5" - Weight: 15 lbs - Power consumption: 28W (6W standby) - Power i
bricasti-design-m1	outboard	9		th its own dedicated linear power supply, D/A converter, DDS clockin
bricasti-design-m10	control-surface	1	review	no wall adapter or external power supply is required. The M10 featur
bricasti-design-m15-pro	power-amp	7		: 0dB, -6dB, -12dB, -18dB - Mains voltage: 100, 120, 220, 230
bricasti-design-m15	power-amp	7		trigger via TRS connector - Mains voltage: 100, 120, 220, 230
bricasti-design-m21-platinum	outboard	11		+N: <0.001% - SNR: >118dB - Power consumption: 55W - Chassis: 2U rack-mou
bricasti-design-m25	power-amp	7		: 0dB, -6dB, -12dB, -18dB - Mains voltage: 100, 120, 220, 230
bricasti-design-m28	power-amp	4		: 0dB, -6dB, -12dB, -18dB - Power consumption: 60W standby, 2W idle - Mai
bricasti-design-m30	power-amp	4		Chassis width: 17 inches - Mains voltage: 100, 120, 220, 230
bricasti-design-m32-platinum	power-amp	4		ed input impedance: 100kΩ - Mains voltage: 100, 120, 220, 230
bricasti-design-m32	power-amp	4		ed input impedance: 100kΩ - Mains voltage: 100, 120, 220, 230
bricasti-design-m7	reverb	7	review	ed transformer based linear power supply provide the finest analog s
bricasti-design-mc1	outboard	9		th its own dedicated linear power supply, D/A converter, DDS clockin
burl-audio-b16-mothership	audio-interface	3		ghter card slots - Internal power supply - 1 BNC word clock input -
burl-audio-b80-mothership	audio-interface	3		wering the B80 is the BP300 power supply with 300-watt continuous po
catalinbread-sfx-tap	utility	2	review	LX and requires no external power supply. The SFX Tap connects to th
chandler-limited-germanium-compressor	compressor	2		Germanium units require the PSU-1 Chandler Limited external
chandler-limited-germanium-drive	pedal	2	review	NOTE ON POWER: Requires a power supply with isolated outputs, such
chandler-limited-germanium-pre-amp-di	preamp	3		Germanium units require the PSU-1, Chandler Limited power s
chandler-limited-germanium-tone-control	equalizer	3		uires the external Chandler PSU-1 supply (purchased separat
chandler-limited-little-devil-pre-amp	preamp	3		API 500V 10-slot with L200 PSU; API 500-6B Lunchbox; API 5
chandler-limited-ltd-1-eq-pre-amp	preamp	5		balanced line in, overbuilt power supply to ensure maximum headroom,
chandler-limited-ltd-2-compressor	compressor	2		require and function on the PSU-1, Chandler Limited power s
chandler-limited-mini-rack-mixer	summing-mixer	23	review	require and function on the PSU-2, Chandler Limited power s
chandler-limited-rs660-compressor	compressor	3		ce chassis with an internal power supply. Building upon advancements
chandler-limited-tg1-limiter	limiter	4	review	om wound. Requires external PSU-1 power supply (purchased s
chandler-limited-tg12345-curve-bender	equalizer	4		require and function on the PSU-1, Chandler Limited power s
chandler-limited-tg12411-channel	preamp	4		t. All TG units require the PSU-1, Chandler Limited power s
chandler-limited-tg2-pre-amp-di	preamp	6		sformers. Requires external PSU-1 power supply (sold separa
chandler-limited-zener-limiter	limiter	4	review	stom wound. Power: External PSU-1, purchased separately. Pa
cranborne-audio-n8	patch-bay	6		t, two 10m Cat 6e cables, a power supply, and other accessories. - 8
cre8audio-assembler	mixer	21		width: 40HP, depth: 30mm - Power consumption: +12V 380mA, -12V 275mA - R
cre8audio-east-beast	semi-modular	20	review	en used as a module: 25mm - Power consumption: 213mA (+12V rail), 151mA (
darkglass-electronics-alpha-omicron	pedal	2	review	egulated 9V center-negative power supply (20 mA draw, not included)
dbx-1260	routing	17		duling - Operating voltage: 100-240 VAC, 50/60Hz - Power consum
dbx-1261	routing	17		ge: 100–240 VAC, 50/60 Hz - Power consumption: 27 W - Dimensions: 1.75″ H
dbx-1261m	routing	17		ontrol - Operating Voltage: 100-240 VAC, 50/60Hz - Power Consum
dbx-166xs	compressor	10		ghted - Power: 15W max; 100–230VAC, 50–60Hz - Dimensions: 1.
dbx-2031	equalizer	8		er: 15W; 100VAC, 120VAC, or 230VAC, 50/60Hz - Dimensions: 3.
dbx-215	equalizer	8		essel - Power: 12W; 100/120/230VAC, 50/60Hz
dbx-2215	equalizer	8		24dBu - Power: 28W; 100/120/230VAC, 50/60Hz - Dimensions: 3.
dbx-223	filter	6	review	Operating Voltage: 100/120/230 VAC, 50/60 Hz - Power Consump
dbx-2231	equalizer	8		Operating Voltage: 100/120/230 VAC, 50/60 Hz - Power Consump
dbx-223s	filter	6	review	Operating Voltage: 100/120/230 VAC, 50/60 Hz - Power Consump
dbx-223xl	filter	6	review	nd outputs with an internal power supply. The unit offers flexibilit
dbx-223xs	filter	7	review	Operating Voltage: 100/120/230 VAC, 50/60 Hz - Power Consump
dbx-231	equalizer	8		Operating Voltage: 100/120/230 VAC, 50/60 Hz - Power Consump
dbx-231s	equalizer	8		ge: 100–240 VAC, 50/60 Hz - Power Consumption: 15 W - Dimensions: 3.5" H
dbx-234	filter	8	review	ion with internally mounted power supply and differentially balanced
dbx-234s	filter	8	review	Operating Voltage: 100–120/230 VAC, 50/60 Hz - Power Consump
dbx-234xl	filter	8	review	es an internal high-quality power supply, and all inputs and outputs
dbx-234xs	filter	8	review	Operating Voltage: 100–120/230 VAC, 50/60 Hz - Power Consump
dbx-266xl	compressor	10		Range: >114dB unweighted - Power Consumption: 15W maximum - Dimensions:
dbx-266xs	compressor	10		B (typically >55dB @1kHz) - Power Consumption: 15W maximum - Operating Vo
dbx-286a	preamp	4		ic Range: Typically 105dB - Power Consumption: 15W - Operating Voltage: 1
dbx-286s	preamp	4		ic Range: Typically 105dB - Power Consumption: 15W - Operating Voltage: 1
dbx-376	preamp	8		107dB typical, A-weighted - Power Consumption: 35W - Operating Voltage: 1
dbx-386	preamp	12		60Hz / 100VAC 50/60Hz (US); 230VAC 50/60Hz (EU) - Power Cons
dbx-640	routing	6		e 640 operates from 100/120/230VAC and meets IEC, UL, and CS
dbx-640m	routing	6		ate: 48kHz - Power: 100/120/230VAC, 50/60Hz, 29W - Dimension
dbx-641	routing	6		g and operates from 100/120/230VAC in a 1U rack enclosure. -
dbx-641m	routing	6		ate: 48kHz - Power: 100/120/230VAC, 50/60Hz, 29W - Dimension
dbx-sc-32	routing	3		Up to 5120 ms per channel - Power Consumption: 120 W - Power Supply: 100–
der-mann-mit-der-maschine-trs-split	utility	9	review	ix mono jacks, requiring no power supply. TRS Split is a multipurpos
der-mann-mit-der-maschine-trs-tool	utility	9	review	mm TRS jacks, requiring no power supply. TRS Tool is a multipurpose
diy-recording-equipment-ss-diy-stereo-input-switcher-kit	routing	22		.35mm) TS jack, unbalanced Power Supply None (completely passive)
dynaudio-9s	subwoofer	6		o on/off: Yes - Max standby power consumption: 0.5 W - Max power consumpt
dynaudio-bm15a	studio-monitor	1		): 21 kHz - AC power input: 100-240V 50/60Hz - Max power consum
dynaudio-bm5-mkiii	studio-monitor	2		): 24 kHz - AC Power Input: 100-240V 50/60Hz - Max Power Consum
dynaudio-bm6a	studio-monitor	1		): 21 kHz - AC power input: 100-240V 50/60Hz - Max power consum
dynaudio-core-47	studio-monitor	3		): 30 kHz - AC power input: 100-240V 50/60Hz - Weight: 15.6 kg
dynaudio-core-sub-compact	subwoofer	4		): 230 Hz - AC power input: 100-240V 50/60Hz - Auto on/off: Yes
dynaudio-lyd-5	studio-monitor	2		): 21 kHz - AC Power Input: 100-240V 50/60Hz - Max Power Consum
electro-voice-elx215	speaker	2	review	, sized for medium-to-large mains where a single woofer cabin
electro-voice-tx1152fm	monitor	2		grates cleanly alongside TX mains. As a passive cabinet, the
electro-voice-tx2152	speaker	2	review	Tour-X series, designed as mains for small-to-medium clubs a
electro-voice-zx1	speaker	1	review	edge enclosure suitable for mains, fills, or stage monitors.
electro-voice-zx3	speaker	1	review	wedge cabinet suitable for mains, fills, or stage monitors.
electro-voice-zx4	speaker	2	review	eaker designed for portable mains and floor-monitor use, pair
empress-ecm-519-compressor	compressor	2		output level up to +22dBu - Power consumption 120mA per rail - Dimensions
evh-5150iii-50w-6l6-2x12-combo	guitar-amplifier	9	review	ard (also 100V, 110V, 220V, 230V, 240V) - Rectifier: Solid S
focal-solo-6	studio-monitor	1		itch; clipping indicators - Power supply: 100–120 V or 220–240 V - D
focal-sub-one	subwoofer	6		-pass frequency selection - Local supply: 100–240 V (T2AL fuse/250 V
focal-sub12	subwoofer	6		put/output for 2.1 bypass - Local supply: 100–120 V or 220–240 V - D
focal-sub6	subwoofer	6		inishes: Black, Grey, Red - Local supply: 230 V or 115 V - Dimension
focal-trio-11-be	studio-monitor	2		.5 kHz): adjustable ±3 dB - Power supply: 230 V or 115 V - Dimension
focal-trio6	studio-monitor	1		ange, 45 Hz, 60 Hz, 90 Hz - Local supply: 100–120 V or 220–240 V - D
focal-utopia-main-112	studio-monitor	1		.5 kHz): adjustable ±3 dB - Local supply: 100–120 V or 220–240 V (50
focal-utopia-main-212	studio-monitor	1		.5 kHz): adjustable ±3 dB - Local supply: 100–120 V or 220–240 V (50
focusrite-isa-428-mkii	preamp	20		ve - Power: 100–240 VAC via IEC connector - Form factor: 2U rack moun
focusrite-scarlett-18i20	audio-interface	32		k output, USB-C, and an IEC mains inlet. A/D and D/A convert
fostex-ap05mk2	power-amp	3		ErP Directive that reduces power consumption when no signal is detected.
fostex-ap25	power-amp	6		eries: AP Series Included: AC adapter (x1), Speaker cable 1.5 m (
fostex-pc-1e	other	3	review	e, which does not require a power supply for easy use. - Available i
fostex-pc200usb-hr	headphone-amp	4	review	m) - Speaker cable (1.5m) - AC adapter
genelec-4410a	speaker	1	review	IEEE 802.3af (15 W) - Idle Power Consumption: ≤4 W - Full Output Power C
genelec-4430a	speaker	2	review	ng (ISS) circuit drops idle power consumption to ≤4 W, and the unit only
genelec-4436a	speaker	2	review	and a proprietary internal power supply stores energy to deliver sh
genelec-8341a	studio-monitor	5		Weight: 9.8 kg (21.6 lb) - Power Consumption ISS: ≤0.5 W - Power Consump
genelec-8361a	studio-monitor	5		25 mm coaxial metal dome - Mains Voltage: 100-240 VAC 50/60
genelec-w371a	studio-monitor	6		ach unit ships with a 1.8 m mains cable, a 5 m RJ45 control c
hedd-tower-mains	studio-monitor	1		onitoring system, the Tower Mains pairs a 3-way TM 80 main un
hedd-type-20-a-core	studio-monitor	3		DD's MK2 monitors and Tower Mains system. It provides extende
herzlich-labs-caos-generator-0hp-7hp-1u-passive-random-signal-generator-copy-no-enclosure-1u	fuzz	2	review	n: no batteries required or power supply required
herzlich-labs-caos-generator-0hp-7hp-1u-passive-random-signal-generator-copy	fuzz	2	review	n: no batteries required or power supply required
herzlich-labs-caos-generator	noise	4	review	n: no batteries required or power supply required
herzlich-labs-passive-fuzz	fuzz	2	review	n: no batteries required or power supply required
herzlich-labs-solar-signal-generator-0hp-14hp-1u-photovoltaic-cv-generator-copy-no-enclosure-1u	noise	4	review	n: no batteries required or power supply required
herzlich-labs-solar-signal-generator-0hp-14hp-1u-photovoltaic-cv-generator-copy	noise	4	review	n: no batteries required or power supply required
ik-multimedia-irig-keys-io	midi-controller	6	review	wer, 4x AA batteries, or DC power supply. Included accessories are
ik-multimedia-irig-pads	midi-controller	3	review	us powered (no batteries or AC adapter required) - Connectivity: L
ik-multimedia-irig-pro-quattro-io	audio-interface	15		us power, and 9VDC external power supply. Battery life ranges from 1
ik-multimedia-irig-stream	audio-interface	4		vice, requiring no external power supply. Includes USB, USB-C, and L
ik-multimedia-uno-synth-pro-x	synthesizer	11		sure: plastic - Power: iRig PSU-3A (included) or USB (5V/1.
ik-multimedia-uno-synth-pro	synthesizer	9		plastic enclosure - Power: PSU included (keyboard), USB or
intellijel-cascadia	synthesizer	14		cable, and an international power supply. - 101 patch points, 34 sli
intellijel-duatt-1u	modular	4		Width: 14HP - Depth: 22mm - Power consumption: 12mA @ +12V, 10mA @ -12V -
intellijel-fsr-1u	modular	2		Width: 10HP - Depth: 23mm - Power consumption: 24mA @ +12V, 9mA @ -12V -
intellijel-headphones-1u	headphone-amp	3	review	Width: 10HP - Depth: 32mm - Power consumption: 30mA @ +12V, 30mA @ -12V -
intellijel-jellymix	mixer	21		1mm center-pin-positive (DC PSU included: MEAN WELL 30W 12V
intellijel-line-in-1u	modular	2		Width: 10HP - Depth: 27mm - Power consumption: 9mA @ +12V, 9mA @ -12V - 1
intellijel-line-out-1u	modular	2		Width: 10HP - Depth: 27mm - Power consumption: 9mA @ +12V, 9mA @ -12V - B
jbl-professional-prx-one	speaker	8	review	an, stable power across 100–230 V AC. High-quality, high-line
kef-kw1-wireless-subwoofer-adapter-kit	other	1	review	2V - Transmitter Power: 5V DC 1A
kemper-profiler-player	amp-sim	7	review	pported - Line Voltage: 100–230 V AC, max. 0.5 A, 50–60 Hz -
kemper-profiler-remote	control-surface	5	review	ontrol + power, no separate power supply) - Rugged stage-ready housi
kemper-profiler-stage	amp-sim	24	review	PA2 PSK - Line Voltage: 100–230 V AC, max. 0.5 A, 50–60 Hz -
klipsch-flexus-surr-200	speaker	2	review	requires no junction boxes, power adapters, or speaker wire runs betw
kush-audio-clariphonic-ms	equalizer	6		pre-EQ Mid or Side path. - Mains powered, AC inlet type not
kush-audio-tweaker	compressor	6		ess distorted transients. - Mains powered, 110-260V, AC inlet
lexicon-qli-32	immersive	5	review	io: 110 dB (20 Hz-20 kHz) - Power supply: 100-240 VAC, 50/60 Hz - Di
louder-than-liftoff-chromaplus	channel-strip	4		Hypermatter ultra-low noise power supply. Discrete audio path uses c
louder-than-liftoff-silver-bullet-mk2	outboard	14		erfaces. Universal external power supply (100–240 VAC, 50/60 Hz). De
mackie-drm18s	subwoofer	10		90 lb / 40.8 kg - Universal power supply (100-240 VAC) with Power Fa
mackie-drm212-p	speaker	2	review	Mackie DRM212-P perfect for mains, monitors and more. - Peak
mackie-drm215	speaker	6	review	.3 lb / 26.0 kg - Universal power supply (100-240 VAC) with Power Fa
mackie-drm315	speaker	6	review	ass-D amplifier - Universal power supply (100-240 VAC) with Power Fa
mackie-m48	utility	2	review	48v Phantom Power Supply. When you need a reliable p
mackie-srm210-vclass	speaker	6	review	ass-D Amplifier - Universal power supply (100-240 VAC) with Power Fa
mackie-srm212-vclass	speaker	6	review	.6 lb / 18.4 kg - Universal power supply (100-240 VAC) with Power Fa
mackie-srt210	speaker	6	review	x 60° vertical - Universal Power Supply (100-240VAC with Power Fact
mackie-thump210	speaker	4	review	s floor monitor - Universal Power Supply (100-240VAC) - Size (H x W
mackie-thump210xt	speaker	4	review	.6 lb / 11.6 kg - Universal Power Supply (100-240VAC)
mackie-thump212	speaker	4	review	htweight design - Universal Power Supply (100-240VAC)
mackie-thump212xt	speaker	4	review	D On/Off switch - Universal Power Supply (100-240VAC) - Standard pol
mackie-thump215	speaker	4	review	or wedge design - Universal Power Supply (100-240VAC) - Weight: 32.6
mackie-thump215xt	speaker	4	review	D On/Off switch - Universal Power Supply (100-240VAC) - Standard pol
manley-backbone	mastering	44	review	k space) - Weight: 13 lbs - Power Consumption: 60 watts - Mains Voltage:
manley-core	channel-strip	7		Shipping Weight: 11.5 lbs - Power Consumption: 35 watts - Operating Volta
manley-elop-plus	limiter	4	review	d, +20 dBu into 600Ω load - Power Supply: Universal 90–254 VAC, 50/6
manley-force	preamp	12		Shipping Weight: 11.8 lbs - Power Consumption: 36 watts - Operating Volta
manley-massive-passive-eq	equalizer	8		m - Nominal Level: +4 dBu - Power Consumption: 44 watts - Dimensions: 19"
manley-mid-frequency-eq	equalizer	4		5K Ohm (1/4" unbalanced) - Power Consumption: 18 watts - Mains Voltage:
manley-neo-classic-250w	amplifier	2		acitors in the high-voltage power supply provide substantial energy
manley-neo-classic-300b-rc	preamp	18		d regulation with low-noise power supply - Dedicated headphone ampli
manley-nu-mu	compressor	8		space) - Weight: 8.5 lbs - Power Consumption: 35 watts - Hand-built in C
manley-slam-mastering	limiter	7	review	es: 2 × 12AT7A, 2 × 6414W - Power Consumption: 57.6W (0.480A @ 120V; 0.24
manley-slam	limiter	10	review	ble) - Phase Reverse: Yes - Power Consumption: 57.6W (0.480A @ 120V; 0.24
manley-stereo-pultec-eq	equalizer	8		- Maximum Output: +30 dBv - Power Consumption: 25 Watts - Operating Volta
manley-stingray-ii	amplifier	2		ier, incorporating enhanced power supply capacity, refined circuit t
manley-variable-mu	compressor	4		ed B+ and Heater supplies - Power Consumption: 80 W (120/240 VAC) - Mains
marantz-amp-10	power-amp	32		afted in Shirakawa, Japan - Power consumption: 500W operational / 0.2W st
marantz-amp-20	power-amp	24		afted in Shirakawa, Japan - Power consumption: 400W operational / 110W id
marantz-av-10	preamp	19		connectivity - 100W typical power consumption; 0.2W standby - Dimensions:
marantz-av-20	preamp	22		ort hole OLED - 90W typical power consumption; 0.2W standby - Dimensions:
marantz-av-30	preamp	19		C053SR remote - 80W typical power consumption; 0.2W standby - Dimensions:
marantz-cd-60	outboard	8		put Level: 28mW / 32 ohms - Power Consumption: 38W (Standby: 0.3W) - Unit
marantz-cinema-70s	amplifier	19		p Timer, Pure Direct mode - Power consumption: 250W operating, 0.2W stand
marantz-link-10n	outboard	21		e Output: 130mW @ 32 ohms - Power Consumption: 7W operating; <0.3W standb
marantz-model-10	amplifier	11		all-new Marantz Switch-Mode Power Supply. The most powerful, highest
marantz-model-30	amplifier	11		ules with SMPS600 switching power supply. Custom HDAM (Hybrid Discr
marantz-model-50	amplifier	11		r transformer, linear drive power supply, symmetric PCB layout, alum
marantz-stereo-70s	amplifier	15		7.4" W x 14.7" D x 4.3" H - Power consumption: 210W operating, 0.2W stand
midas-hub4-pro	rack-mount	19	review	th a versatile and adaptive power supply, the HUB4 PRO can be used g
midas-neutron	rack-mount	19	review	to 240 V, 50 Hz to 60 Hz - Power Consumption (2 PSUs): 0.54 A, 124.2 W /
motu-4pre	audio-interface	18		- - Firewire bus power - Dc power adapter included
motu-828x	audio-interface	34		ower switch - International 100-240v autoswitching power supply
numark-idj-live-ii	midi-controller	2	review	bus-powered, so no separate power adapter is required. The box includ
numark-mixtrack-edge	midi-controller	3	review	is also USB-powered, so no power adapter is required, and setting up
numark-mp103usb	other	5	review	lbs, 4.6 kg - Power Source: 115V/230V ~60Hz/50Hz 20W
numark-n-wave-580	studio-monitor	5		onse: 55-20,000 Hz - Power: 100-240V, 50/60Hz; universal switch
